tplot	xplot	yplot	zplot
62.1	-4.82992	-2.33836	26.5033
62.2	-3.69654	-3.68803	21.3179
62.3	-4.68981	-6.60638	18.1472
62.4	-7.66136	-11.6629	18.8678
62.5	-11.9283	-15.5145	26.9679
62.6	-12.1856	-9.25496	34.8819
62.7	-7.67431	-2.77325	31.4788
62.8	-4.16956	-2.23346	25.2041
62.9	-3.50526	-3.85378	20.2381
63	-4.82814	-7.0941	17.4363
63.1	-8.19117	-12.5959	19.0365
63.2	-12.543	-15.6852	28.5519
63.3	-11.8354	-7.85559	35.3646
63.4	-6.87655	-2.10861	30.6631
63.5	-3.68479	-2.0777	24.2932
63.6	-3.2805	-3.81073	19.4286
63.7	-4.76544	-7.20651	16.7658
63.8	-8.35524	-13.0435	18.7417
63.9	-12.8969	-15.9929	29.1679
64	-11.7739	-7.23094	35.7714
64.1	-6.47889	-1.63117	30.4113
64.2	-3.31636	-1.76505	23.8858
64.3	-2.93722	-3.43769	18.9423
64.4	-4.35488	-6.69919	16.0758
64.5	-7.893	-12.6602	17.5508
64.6	-12.8882	-16.785	28.0843
64.7	-12.2984	-7.89614	36.3853
64.8	-6.71253	-1.31493	31.1072
64.9	-3.09691	-1.22488	24.2395
65	-2.44201	-2.64739	18.9819
65.1	-3.49128	-5.34921	15.534
65.2	-6.48301	-10.7734	15.4017
65.3	-11.8334	-17.3749	23.8181
65.4	-13.6481	-11.2523	36.4685
65.5	-8.25207	-1.59008	33.4272
65.6	-3.31018	-0.402429	25.9084
65.7	-1.86855	-1.41989	20.0111
65.8	-2.20152	-3.13265	15.7029
65.9	-3.96543	-6.70543	13.3221
66	-8.123	-13.8309	15.6947
66.1	-14.0817	-18.3593	29.5236
66.2	-12.2698	-5.91047	37.9826
66.3	-5.4057	0.432793	30.5578
66.4	-1.70106	0.219586	23.276
66.5	-0.825775	-0.498666	17.8346
66.6	-0.958617	-1.38419	13.7261
66.7	-1.84149	-3.25971	10.7877
66.8	-4.21226	-7.87631	9.71002
66.9	-9.81558	-17.3833	15.378
67	-16.0659	-17.8362	35.6286
67.1	-10.5186	-0.51943	37.7065
67.2	-2.44012	2.6963	27.9827
67.3	0.610581	2.49167	21.3142
67.4	2.02263	3.5916	16.6999
67.5	4.0373	6.93088	14.1832
67.6	8.16242	13.7099	16.4592
67.7	13.8074	17.7966	29.4913
67.8	12.1639	6.23834	37.4818
67.9	5.66327	0.0433785	30.5298
68	2.07948	0.252481	23.3787
68.1	1.33781	1.23562	17.9966
68.2	1.83279	2.82181	14.0479
68.3	3.59906	6.33724	11.8223
68.4	7.84503	13.8332	14.1403
68.5	14.4433	19.5054	29.0864
68.6	12.5752	5.61185	38.9659
68.7	5.07531	-1.25494	30.8165
68.8	1.06086	-1.0935	23.3099
68.9	-0.103717	-0.876269	17.8244
69	-0.675011	-1.34581	13.694
69.1	-1.56113	-2.89505	10.6947
69.2	-3.68061	-6.96121	9.30286
69.3	-8.79766	-16.0063	13.4785
69.4	-15.9439	-19.8116	33.0527
69.5	-11.4967	-1.68881	39.1137
69.6	-2.94348	2.927	29.1201
69.7	0.605623	2.72954	22.1266
69.8	2.14483	3.78384	17.3703
69.9	4.19257	7.09728	14.813
70	8.26667	13.6705	17.1065
70.1	13.6334	17.3136	29.6183
70.2	12.0176	6.35042	37.0585
70.3	5.79479	0.397034	30.4133
70.4	2.35209	0.625326	23.4031
70.5	1.72859	1.80457	18.111
